Tensor,Dim,scale
model.layers.22.mlp.down_proj.weight,0,0.04
model.layers.22.mlp.down_proj.weight,1,0.04
model.layers.22.mlp.down_proj.weight,2,0.04
model.layers.22.mlp.down_proj.weight,3,0.04
model.layers.22.mlp.down_proj.weight,4,0.04
model.layers.22.mlp.down_proj.weight,5,0.04
model.layers.22.mlp.down_proj.weight,6,0.04
model.layers.22.mlp.down_proj.weight,7,0.04
model.layers.22.mlp.down_proj.weight,8,0.04
model.layers.22.mlp.down_proj.weight,9,0.04
model.layers.22.mlp.down_proj.weight,10,0.04
model.layers.22.mlp.down_proj.weight,11,0.04
model.layers.22.mlp.down_proj.weight,12,0.04
model.layers.22.mlp.down_proj.weight,13,0.04
model.layers.22.mlp.down_proj.weight,14,0.04
model.layers.22.mlp.down_proj.weight,15,0.04
model.layers.22.mlp.down_proj.weight,16,0.04
model.layers.22.mlp.down_proj.weight,0,0.04
model.layers.22.mlp.down_proj.weight,0,0.04
model.layers.22.mlp.down_proj.weight,0,0.04
model.layers.22.mlp.down_proj.weight,0,0.04
model.layers.22.mlp.down_proj.weight,0,0.04
model.layers.22.mlp.down_proj.weight,0,0.04
model.layers.22.mlp.down_proj.weight,0,0.04
model.layers.22.mlp.down_proj.weight,0,0.04
model.layers.22.mlp.down_proj.weight,0,0.04
model.layers.23.mlp.down_proj.weight,0,0.04
model.layers.23.mlp.down_proj.weight,1,0.04
model.layers.23.mlp.down_proj.weight,2,0.04
model.layers.23.mlp.down_proj.weight,3,0.04
model.layers.23.mlp.down_proj.weight,4,0.04
model.layers.23.mlp.down_proj.weight,5,0.04
model.layers.23.mlp.down_proj.weight,6,0.04
model.layers.23.mlp.down_proj.weight,7,0.04
model.layers.23.mlp.down_proj.weight,8,0.04
model.layers.23.mlp.down_proj.weight,9,0.04
model.layers.23.mlp.down_proj.weight,10,0.04
model.layers.23.mlp.down_proj.weight,11,0.04
model.layers.23.mlp.down_proj.weight,12,0.04
model.layers.23.mlp.down_proj.weight,13,0.04
model.layers.23.mlp.down_proj.weight,14,0.04
model.layers.23.mlp.down_proj.weight,15,0.04
model.layers.23.mlp.down_proj.weight,16,0.04
model.layers.23.mlp.down_proj.weight,0,0.04
model.layers.23.mlp.down_proj.weight,0,0.04
model.layers.23.mlp.down_proj.weight,0,0.04
model.layers.23.mlp.down_proj.weight,0,0.04
model.layers.23.mlp.down_proj.weight,0,0.04
model.layers.23.mlp.down_proj.weight,0,0.04
model.layers.23.mlp.down_proj.weight,0,0.04
model.layers.23.mlp.down_proj.weight,0,0.04
model.layers.23.mlp.down_proj.weight,0,0.04
model.layers.24.mlp.down_proj.weight,0,0.04
model.layers.24.mlp.down_proj.weight,1,0.04
model.layers.24.mlp.down_proj.weight,2,0.04
model.layers.24.mlp.down_proj.weight,3,0.04
model.layers.24.mlp.down_proj.weight,4,0.04
model.layers.24.mlp.down_proj.weight,5,0.04
model.layers.24.mlp.down_proj.weight,6,0.04
model.layers.24.mlp.down_proj.weight,7,0.04
model.layers.24.mlp.down_proj.weight,8,0.04
model.layers.24.mlp.down_proj.weight,9,0.04
model.layers.24.mlp.down_proj.weight,10,0.04
model.layers.24.mlp.down_proj.weight,11,0.04
model.layers.24.mlp.down_proj.weight,12,0.04
model.layers.24.mlp.down_proj.weight,13,0.04
model.layers.24.mlp.down_proj.weight,14,0.04
model.layers.24.mlp.down_proj.weight,15,0.04
model.layers.24.mlp.down_proj.weight,16,0.04
model.layers.24.mlp.down_proj.weight,0,0.04
model.layers.24.mlp.down_proj.weight,0,0.04
